title,roaster,score,Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,With Milk,Acidity
Panama Hartmann Estate Chicho Gallo Amaro Gayo Natural BOP#1,Buon Caffe,94,"Taipei, Taiwan","Chiriqui Province, far western Panama",Medium-Light,60/78,NT $549/100 grams,December 2022,9,9,9,9,8,,
Kenya Ichamama,Mostra Coffee,94,"San Diego, California","Nyeri growing region, south-central Kenya",Medium-Light,59/77,$28.00/12 ounces,December 2022,9,9,9,9,8,,
Ethiopia Guji Hamela Buku Abel Washed Process,Buon Caffe,93,"Taipei, Taiwan","Guji growing region, south-central Ethiopia",Medium-Light,62/79,NT $329/8 ounces,December 2022,9,9,8,9,8,,
Ethiopia Sidamo Assefa 74158 SLD Natural,Buon Caffe,93,"Taipei, Taiwan","Sidamo growing region, south-central Ethiopia",Light,64/82,NT $369/8 ounces,December 2022,9,9,8,9,8,,
Colombia Don Correa Gesha,Roadmap CoffeeWorks,94,"Lexington, Virginia","San Jose, Caldas, Colombia",Light,62/80,$32.95/12 ounces,December 2022,9,9,9,9,8,,
Wilton Benitez Geisha,JBC Coffee Roasters,95,"Madison, Wisconsin","Piendamó, Cauca Department, Colombia",Medium-Light,59/81,$25.00/8 ounces,November 2022,9,9,9,9,9,,
Ethiopia Hamasho Washed,Paradise Roasters,95,"Minnesota, Minnesota","Bombe Mountains, Sidama Region, Ethiopia",Light,62/81,$25.00/12 ounces,November 2022,9,9,9,9,9,,
Ethiopia Idido Anaerobic Natural,Paradise Roasters,95,"Minneapolis, Minnesota","Yirgacheffe growing region, southern Ethiopia",Medium-Light,61/80,$20.00/6 ounces,November 2022,9,9,9,9,9,,
Mexico Cup of Excellence #7,SkyTop Coffee,94,"Manlius, New York","Coatepec, Veracruz State, Mexico",Light,62/80,$40.00/12 ounces,November 2022,9,9,9,9,8,,
Costa Rica Las Lajas Red Honey,Durango Coffee Company,93,"Durango, Colorado","Sabanilla de Alajuela, Alajuela Province, Costa Rica",Medium-Light,58/74,$17.95/12 ounces,November 2022,9,8,9,9,8,,
Colombia Finca Santa Maria Honey Tabi,SkyTop Coffee,93,"Manlius, New York","Santander Department, Colombia",Medium-Light,61/77,$20.00/12 ounces,November 2022,9,9,8,9,8,,
