coffee_name,coffee_review_url,coffee_brand_url,coffee_web_name
Costa Rica San Diego,https://www.coffeereview.com/review/costa-rica-san-diego/,https://utopiancoffee.com/collections/coffee?filter.p.m.custom.roast_level=Coffee+Review&sort_by=manual&utm_source=coffeereview.com&utm_medium=referral,costa-rica-san-diego
Costa Rica La Candelilla Geisha,https://www.coffeereview.com/review/costa-rica-la-candelilla-geisha/,https://www.redroostercoffee.com/collections/coffee,costa-rica-la-candelilla-geisha
Guatemala Santa Ana Dilla Alghe Washed,https://www.coffeereview.com/review/guatemala-santa-ana-dilla-alghe-washed/,https://www.ptscoffee.com,guatemala-santa-ana-dilla-alghe-washed
Ethiopia Agaro Duromina,https://www.coffeereview.com/review/ethiopia-agaro-duromina-2/,https://jauntcoffee.com/,ethiopia-agaro-duromina-2
Panama Renaissance Series Flora Geisha Washed,https://www.coffeereview.com/review/panama-renaissance-series-flora-geisha-washed/,https://shop.coffeebox.tw/,panama-renaissance-series-flora-geisha-washed
Costa Rica Tarrazu,https://www.coffeereview.com/review/costa-rica-tarrazu-5/,https://jauntcoffee.com/,costa-rica-tarrazu-5
Kenya Embu Gicherori PB Washed,https://www.coffeereview.com/review/kenya-embu-gicherori-pb-washed/,https://shop.coffeebox.tw/,kenya-embu-gicherori-pb-washed
The Secret of Colombia,https://www.coffeereview.com/review/the-secret-of-colombia/,https://shop.coffeebox.tw/,the-secret-of-colombia
Ethiopia Coffee Lamp Series Worka Natural G1,https://www.coffeereview.com/review/ethiopia-coffee-lamp-series-worka-natural-g1/,https://shop.coffeebox.tw/,ethiopia-coffee-lamp-series-worka-natural-g1
Guatemala La Minita La Flor Peaberry Washed,https://www.coffeereview.com/review/guatemala-la-minita-la-flor-peaberry-washed/,https://shop.coffeebox.tw/,guatemala-la-minita-la-flor-peaberry-washed
Colombia San Martin Bourbon Aji Star Fruit Peach Honey,https://www.coffeereview.com/review/colombia-san-martin-bourbon-aji-star-fruit-peach-honey/,https://www.gkcoffee.com.tw,colombia-san-martin-bourbon-aji-star-fruit-peach-honey
Taiwan COE #3 Alishan Zhou Zhu Yuan Geisha Natural,https://www.coffeereview.com/review/taiwan-coe-3-alishan-zhou-zhu-yuan-geisha-natural/,https://www.gkcoffee.com.tw,taiwan-coe-3-alishan-zhou-zhu-yuan-geisha-natural
Taiwan COE#9 Alishan Zhuo Wu Farm Geisha Honey,https://www.coffeereview.com/review/taiwan-coe9-alishan-zhuo-wu-farm-geisha-honey/,https://www.gkcoffee.com.tw,taiwan-coe9-alishan-zhuo-wu-farm-geisha-honey
Las Margaritas Colombia Sudan Rume Natural,https://www.coffeereview.com/review/las-margaritas-colombia-sudan-rume-natural/,https://www.jbccoffeeroasters.com/product-category/coffee/,las-margaritas-colombia-sudan-rume-natural
Yabitu Koba Ethiopia,https://www.coffeereview.com/review/yabitu-koba-ethiopia-2/,https://www.jbccoffeeroasters.com/product-category/coffee/,yabitu-koba-ethiopia-2
Pantan Musara Sumatra,https://www.coffeereview.com/review/pantan-musara-sumatra-4/,https://www.jbccoffeeroasters.com/product-category/coffee/,pantan-musara-sumatra-4
Ethiopia Yirgacheffe Misty Valley Aricha Washed G1,https://www.coffeereview.com/review/ethiopia-yirgacheffe-misty-valley-aricha-washed-g1/,https://www.buoncaffe.com.tw/,ethiopia-yirgacheffe-misty-valley-aricha-washed-g1
Kenya Kirinyaga Karimikui Factory AA TOP Washed,https://www.coffeereview.com/review/kenya-kirinyaga-karimikui-factory-aa-top-washed/,https://www.buoncaffe.com.tw/,kenya-kirinyaga-karimikui-factory-aa-top-washed
Ethiopia Guji Uraga Raro Washed G1,https://www.coffeereview.com/review/ethiopia-guji-uraga-raro-washed-g1/,https://www.buoncaffe.com.tw/,ethiopia-guji-uraga-raro-washed-g1
Dembi Ethiopia Natural,https://www.coffeereview.com/review/dembi-ethiopia-natural/,https://www.jbccoffeeroasters.com/product-category/coffee/,dembi-ethiopia-natural
Ethiopia Sidamo Assefa 74110 Natural,https://www.coffeereview.com/review/ethiopia-sidamo-assefa-74110-natural/,https://www.buoncaffe.com.tw/,ethiopia-sidamo-assefa-74110-natural
Ethiopia Guji Uraga Tabe Burka G1 Washed,https://www.coffeereview.com/review/ethiopia-guji-uraga-tabe-burka-g1-washed/,https://www.buoncaffe.com.tw/,ethiopia-guji-uraga-tabe-burka-g1-washed
Ethiopia Guji Hambela Red Honey G1,https://www.coffeereview.com/review/ethiopia-guji-hambela-red-honey-g1/,https://www.buoncaffe.com.tw/,ethiopia-guji-hambela-red-honey-g1
Nicaragua La Estrella Washed,https://www.coffeereview.com/review/nicaragua-la-estrella-washed/,https://www.buoncaffe.com.tw/,nicaragua-la-estrella-washed
El Salvador Lenca Pacas-Bourbon Washed,https://www.coffeereview.com/review/el-salvador-lenca-pacas-bourbon-washed/,https://www.buoncaffe.com.tw/,el-salvador-lenca-pacas-bourbon-washed
Colombia Jose Ignacio Gomez Washed,https://www.coffeereview.com/review/colombia-jose-ignacio-gomez-washed/,https://www.buoncaffe.com.tw/,colombia-jose-ignacio-gomez-washed
