title,roaster,score,Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,With Milk,coffee_name,coffee_review_url,coffee_brand_url,region_africa_arabia,region_caribbean,region_central_america,region_hawaii,region_asia_pacific,is_blend,Est. Price USD,Latitude,Longitude,January_Avg_Temp,January_Precipitation,July_Avg_Temp,July_Precipitation,Price per once
Panama Mokkita Natural Mama Cata Estate,Paradise Roasters,96,"Hilo, Hawaii","Boquete, Panama",Light,64/82,$250/4 ounces,February 2024,9.0,9.0,9,10,9.0,,Panama Mokkita Natural Mama Cata Estate,https://www.coffeereview.com/review/panama-mokkita-natural-mama-cata-estate-2/,https://paradiseroasters.com/,0,0,1,0,0,0,$250.00/4 ounces,19.6854458,-155.10037544637729,22.1,0.5,23.0,0.4,
Hapa,Monarch Coffee,93,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,55/76,$28.00/8 ounces,February 2024,9.0,8.0,9,9,8.0,,Hapa,https://www.coffeereview.com/review/hapa/,https://bit.ly/35zI089,0,0,0,1,0,0,$28.00/8 ounces,19.62946965,-155.91685535656885,17.2,0.1,18.5,6.4,
Colombia 510 Elegante Natural Geisha,Utopian Coffee,95,"Fort Wayne, Indiana","Manizales, Caldas, Colombia",Light,62/82,$10.00/4 ounces (sold only as a two-pack),January 2024,9.0,9.0,9,9,9.0,,Colombia 510 Elegante Natural Geisha,https://www.coffeereview.com/review/colombia-510-elegante-natural-geisha/,https://utopiancoffee.com/collections/coffee?filter.p.m.custom.roast_level=Coffee+Review&sort_by=manual&utm_source=coffeereview.com&utm_medium=referral,0,0,0,0,0,0,$10.00/4 ounces (sold only as a two-pack),41.0799898,-85.1386015,4.1,0.0,24.0,5.8,
Colombia Turron,Utopian Coffee,94,"Fort Wayne, Indiana","Manizales, Caldas, Colombia",Medium-Light,58/78,$10.00/4 ounces (sold only as a two-pack),January 2024,9.0,9.0,9,9,8.0,,Colombia Turron,https://www.coffeereview.com/review/colombia-turron/,https://utopiancoffee.com/collections/coffee?filter.p.m.custom.roast_level=Coffee+Review&sort_by=manual&utm_source=coffeereview.com&utm_medium=referral,0,0,0,0,0,0,$10.00/4 ounces (sold only as a two-pack),41.0799898,-85.1386015,4.1,0.0,24.0,5.8,
Mukwinja DR Congo,JBC Coffee Roasters,93,"Madison, Wisconsin","Kalehe, South Kivu growing region, Democratic Republic of Congo",Light,64/83,$19.00/12 ounces,January 2024,9.0,8.0,9,9,8.0,,Mukwinja DR Congo,https://www.coffeereview.com/review/mukwinja-dr-congo/,https://www.jbccoffeeroasters.com/product-category/coffee/,1,0,0,0,0,0,$19.00/12 ounces,43.074761,-89.3837613,1.2,1.3,23.0,3.6,
Buesaco Colombia,JBC Coffee Roasters,92,"Madison, Wisconsin","Nariño Department, Colombia",Light,64/91,$18.00/12 ounces,January 2024,8.0,9.0,8,9,8.0,,Buesaco Colombia,https://www.coffeereview.com/review/buesaco-colombia-2/,https://www.jbccoffeeroasters.com/product-category/coffee/,0,0,0,0,0,0,$18.00/12 ounces,43.074761,-89.3837613,1.2,1.3,23.0,3.6,
Buesaco Colombia,JBC Coffee Roasters,92,"Madison, Wisconsin","Nariño Department, Colombia",Light,64/91,$18.00/12 ounces,January 2024,8.0,9.0,8,9,8.0,,Buesaco Colombia,https://www.coffeereview.com/review/buesaco-colombia/,https://www.jbccoffeeroasters.com/product-category/coffee/,0,0,0,0,0,0,$18.00/12 ounces,43.074761,-89.3837613,1.2,1.3,23.0,3.6,
Ethiopia Layo Teraga,Utopian Coffee,95,"Fort Wayne, Indiana","Sidamo growing region, southern Ethiopia",Light,62/80,$23.00/12 ounces,January 2024,9.0,9.0,9,9,9.0,,Ethiopia Layo Teraga,https://www.coffeereview.com/review/ethiopia-layo-teraga/,https://utopiancoffee.com/collections/coffee?filter.p.m.custom.roast_level=Coffee+Review&sort_by=manual&utm_source=coffeereview.com&utm_medium=referral,1,0,0,0,0,0,$23.00/12 ounces,41.0799898,-85.1386015,4.1,0.0,24.0,5.8,
Ethiopia Reko Yirgacheffe,Temple Coffee,94,"Sacramento, California","Yirgacheffe growing region, southern Ethiopia",Medium-Light,58/76,$24.50/12 ounces,January 2024,9.0,9.0,9,9,8.0,,Ethiopia Reko Yirgacheffe,https://www.coffeereview.com/review/ethiopia-reko-yirgacheffe-4/,https://www.templecoffee.com,1,0,0,0,0,0,$24.50/12 ounces,38.5810606,-121.493895,10.5,20.5,30.4,0.0,
Ethiopia Reko Yirgacheffe,Temple Coffee,94,"Sacramento, California","Yirgacheffe growing region, southern Ethiopia",Medium-Light,58/76,$24.50/12 ounces,January 2024,9.0,9.0,9,9,8.0,,Ethiopia Reko Yirgacheffe,https://www.coffeereview.com/review/ethiopia-reko-yirgacheffe-3/,https://www.templecoffee.com,1,0,0,0,0,0,$24.50/12 ounces,38.5810606,-121.493895,10.5,20.5,30.4,0.0,
