title,roaster,score,Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,With Milk,Acidity,coffee_name,coffee_review_url,coffee_brand_url,region_africa_arabia,region_caribbean,region_central_america,region_hawaii,region_asia_pacific,is_blend,Est. Price USD
Ethiopia Reko Yirgacheffe,Temple Coffee Roasters,94,"Sacramento, California","Yirgacheffe growing region, Ethiopia",Medium-Light,60/76,$20.50/12 ounces,September 2020,9.0,9.0,9,9,8.0,,,Ethiopia Reko Yirgacheffe,https://www.coffeereview.com/review/ethiopia-reko-yirgacheffe-3/,https://www.templecoffee.com,1,0,0,0,0,0,$20.50/12 ounces
Ethiopia Reko Yirgacheffe,Temple Coffee Roasters,94,"Sacramento, California","Yirgacheffe growing region, Ethiopia",Medium-Light,60/76,$20.50/12 ounces,September 2020,9.0,9.0,9,9,8.0,,,Ethiopia Reko Yirgacheffe,https://www.coffeereview.com/review/ethiopia-reko-yirgacheffe-2/,https://www.templecoffee.com,1,0,0,0,0,0,$20.50/12 ounces
Ethiopia Reko Yirgacheffe,Temple Coffee Roasters,94,"Sacramento, California","Yirgacheffe growing region, Ethiopia",Medium-Light,60/76,$20.50/12 ounces,September 2020,9.0,9.0,9,9,8.0,,,Ethiopia Reko Yirgacheffe,https://www.coffeereview.com/review/ethiopia-reko-yirgacheffe/,https://www.templecoffee.com,1,0,0,0,0,0,$20.50/12 ounces
Honduras Buenos Aires,Temple Coffee Roasters,92,"Sacramento, California","Buenos Aires, Comayagua, Honduras",Medium-Light,58/74,$19.00/12 ounces,September 2020,9.0,8.0,8,9,8.0,,,Honduras Buenos Aires,https://www.coffeereview.com/review/honduras-buenos-aires/,https://www.templecoffee.com,0,0,1,0,0,0,$19.00/12 ounces
Nicaragua El Poste Pacamara,Paradise Roasters,92,"Minneapolis, Minnesota","Nueva Segovia, Nicaragua",Medium-Light,62/76,$12.95/6 ounces,September 2020,9.0,8.0,8,9,8.0,,,Nicaragua El Poste Pacamara,https://www.coffeereview.com/review/nicaragua-el-poste-pacamara/,https://paradiseroasters.com/,0,0,1,0,0,0,$12.95/6 ounces
Hawai’i Kilauea Volcano Yeast Fermentation Washed,Paradise Roasters,96,"Minneapolis, Minnesota","Puna, Big Island of Hawai’i",Medium-Light,58/76,$29.95/4 ounces,September 2020,9.0,9.0,9,10,9.0,,,Hawai’i Kilauea Volcano Yeast Fermentation Washed,https://www.coffeereview.com/review/hawaii-kilauea-volcano-yeast-fermentation-washed/,https://paradiseroasters.com/,0,0,0,1,0,0,$29.95/4 ounces
Kona Pink Honey Black Rock Farm,Paradise Roasters,94,"Minneapolis, Minnesota","Kona, Big Island of Hawai’i",Medium-Light,58/78,$24.95/4 ounces,September 2020,9.0,9.0,9,9,8.0,,,Kona Pink Honey Black Rock Farm,https://www.coffeereview.com/review/kona-pink-honey-black-rock-farm/,https://paradiseroasters.com/,0,0,0,1,0,0,$24.95/4 ounces
Ethiopia Kayon Mountain,Lexington Coffee Roasters,94,"Lexington, Virginia","Odo Shakiso District, Guji Zone, southern Ethiopia",Medium-Light,60/78,$19.95/12 ounces,September 2020,9.0,9.0,9,9,8.0,,,Ethiopia Kayon Mountain,https://www.coffeereview.com/review/ethiopia-kayon-mountain-12/,https://roadmapcoffeeworks.com/,1,0,0,0,0,0,$19.95/12 ounces
Ethiopia Kayon Mountain,Lexington Coffee Roasters,94,"Lexington, Virginia","Odo Shakiso District, Guji Zone, southern Ethiopia",Medium-Light,60/78,$19.95/12 ounces,September 2020,9.0,9.0,9,9,8.0,,,Ethiopia Kayon Mountain,https://www.coffeereview.com/review/ethiopia-kayon-mountain-11/,https://roadmapcoffeeworks.com/,1,0,0,0,0,0,$19.95/12 ounces
Ethiopia Kayon Mountain,Lexington Coffee Roasters,94,"Lexington, Virginia","Odo Shakiso District, Guji Zone, southern Ethiopia",Medium-Light,60/78,$19.95/12 ounces,September 2020,9.0,9.0,9,9,8.0,,,Ethiopia Kayon Mountain,https://www.coffeereview.com/review/ethiopia-kayon-mountain-10/,https://roadmapcoffeeworks.com/,1,0,0,0,0,0,$19.95/12 ounces
Ethiopia Kayon Mountain,Lexington Coffee Roasters,94,"Lexington, Virginia","Odo Shakiso District, Guji Zone, southern Ethiopia",Medium-Light,60/78,$19.95/12 ounces,September 2020,9.0,9.0,9,9,8.0,,,Ethiopia Kayon Mountain,https://www.coffeereview.com/review/ethiopia-kayon-mountain-8/,https://roadmapcoffeeworks.com/,1,0,0,0,0,0,$19.95/12 ounces
Ethiopia Kayon Mountain,Lexington Coffee Roasters,94,"Lexington, Virginia","Odo Shakiso District, Guji Zone, southern Ethiopia",Medium-Light,60/78,$19.95/12 ounces,September 2020,9.0,9.0,9,9,8.0,,,Ethiopia Kayon Mountain,https://www.coffeereview.com/review/ethiopia-kayon-mountain-6/,http://www.lexingtoncoffee.com,1,0,0,0,0,0,$19.95/12 ounces
